PDG	Ctau	Acceptance	StatError
1000022	1.65	0.0003		0.0003
1000022	3.3	0.0066		0.0072
1000022	6.6	0.0219		0.0228
1000022	9.9	0.0258		0.0261
1000022	13.2	0.0248		0.0248
1000022	16.5	0.0224		0.0223
1000022	33	0.0115		0.0114
1000022	66	0.0051		0.0042
1000022	99	0.0052		0.0024
1000022	132	0.0063		0.0023
1000022	165	0.0072		0.0025
1000022	330	0.0084		0.0038
1000022	660	0.0077		0.0043
1000022	990	0.0071		0.0044
1000022	1320	0.0067		0.0043
1000022	1650	0.0065		0.0043
1000022	3300	0.0060		0.0041
1000022	6600	0.0057		0.0041
1000022	9900	0.0056		0.0040
1000022	1.32e+04	0.0056		0.0040
1000022	1.65e+04	0.0056		0.0040
