PDG	Ctau	Acceptance	StatError
1000022	1.6	0.9132		0.0352
1000022	3.2	0.8864		0.0267
1000022	6.4	0.8417		0.0307
1000022	9.6	0.8294		0.0297
1000022	12.8	0.8259		0.0265
1000022	16	0.8249		0.0235
1000022	32	0.8264		0.0147
1000022	64	0.8292		0.0092
1000022	96	0.8307		0.0074
1000022	128	0.8306		0.0067
1000022	160	0.8291		0.0065
1000022	320	0.8111		0.0136
1000022	640	0.7785		0.0401
1000022	960	0.7608		0.0581
1000022	1280	0.7505		0.0699
1000022	1600	0.7437		0.0782
1000022	3200	0.7288		0.0981
1000022	6400	0.7206		0.1103
1000022	9600	0.7178		0.1148
1000022	1.28e+04	0.7163		0.1171
1000022	1.6e+04	0.7154		0.1185
