PDG	Ctau	Acceptance	StatError
6001113	0.015	0.8251		0.0326
6001113	0.03	0.8215		0.0233
6001113	0.06	0.8212		0.0164
6001113	0.09	0.8200		0.0134
6001113	0.12	0.8179		0.0116
6001113	0.15	0.8156		0.0104
6001113	0.3	0.8073		0.0077
6001113	0.6	0.8016		0.0059
6001113	0.9	0.7995		0.0052
6001113	1.2	0.7981		0.0049
6001113	1.5	0.7969		0.0048
6001113	3	0.7964		0.0066
6001113	6	0.8044		0.0118
6001113	9	0.8104		0.0148
6001113	12	0.8141		0.0166
6001113	15	0.8166		0.0178
6001113	30	0.8222		0.0202
6001113	60	0.8252		0.0214
6001113	90	0.8263		0.0219
6001113	120	0.8268		0.0221
6001113	150	0.8271		0.0222
6002113	0.15	0.7809		0.0352
6002113	0.3	0.7793		0.0258
6002113	0.6	0.7853		0.0182
6002113	0.9	0.7897		0.0147
6002113	1.2	0.7923		0.0127
6002113	1.5	0.7940		0.0114
6002113	3	0.7974		0.0081
6002113	6	0.7983		0.0060
6002113	9	0.7981		0.0053
6002113	12	0.7978		0.0049
6002113	15	0.7975		0.0048
6002113	30	0.7986		0.0073
6002113	60	0.8064		0.0174
6002113	90	0.8126		0.0242
6002113	120	0.8168		0.0283
6002113	150	0.8196		0.0309
6002113	300	0.8262		0.0366
6002113	600	0.8299		0.0395
6002113	900	0.8312		0.0404
6002113	1200	0.8318		0.0409
6002113	1500	0.8322		0.0412
6003113	1.5	0.8157		0.0292
6003113	3	0.8076		0.0223
6003113	6	0.8085		0.0165
6003113	9	0.8076		0.0137
6003113	12	0.8059		0.0120
6003113	15	0.8042		0.0108
6003113	30	0.7973		0.0079
6003113	60	0.7733		0.0060
6003113	90	0.7276		0.0055
6003113	120	0.6739		0.0055
6003113	150	0.6211		0.0058
6003113	300	0.4306		0.0085
6003113	600	0.2762		0.0168
6003113	900	0.2189		0.0210
6003113	1200	0.1907		0.0228
6003113	1500	0.1742		0.0237
6003113	3000	0.1426		0.0247
6003113	6000	0.1278		0.0247
6003113	9000	0.1230		0.0247
6003113	1.2e+04	0.1206		0.0247
6003113	1.5e+04	0.1192		0.0246
