PDG	Ctau	Acceptance	StatError
6001113	0.015	0.2255		0.1310
6001113	0.03	0.2505		0.1040
6001113	0.06	0.2866		0.0678
6001113	0.09	0.3016		0.0494
6001113	0.12	0.3083		0.0389
6001113	0.15	0.3123		0.0321
6001113	0.3	0.3208		0.0178
6001113	0.6	0.3242		0.0105
6001113	0.9	0.3257		0.0081
6001113	1.2	0.3260		0.0071
6001113	1.5	0.3257		0.0068
6001113	3	0.3153		0.0205
6001113	6	0.2379		0.0811
6001113	9	0.1911		0.0948
6001113	12	0.1673		0.0960
6001113	15	0.1535		0.0950
6001113	30	0.1279		0.0899
6001113	60	0.1164		0.0863
6001113	90	0.1127		0.0849
6001113	120	0.1109		0.0843
6001113	150	0.1098		0.0838
6002113	0.15	0.4938		0.4216
6002113	0.3	0.4310		0.2320
6002113	0.6	0.3472		0.0941
6002113	0.9	0.3261		0.0602
6002113	1.2	0.3211		0.0451
6002113	1.5	0.3209		0.0362
6002113	3	0.3276		0.0188
6002113	6	0.3324		0.0107
6002113	9	0.3329		0.0082
6002113	12	0.3329		0.0072
6002113	15	0.3327		0.0069
6002113	30	0.3358		0.0151
6002113	60	0.3595		0.0596
6002113	90	0.3765		0.0928
6002113	120	0.3866		0.1132
6002113	150	0.3930		0.1266
6002113	300	0.4062		0.1554
6002113	600	0.4128		0.1704
6002113	900	0.4150		0.1755
6002113	1200	0.4161		0.1781
6002113	1500	0.4168		0.1796
6003113	1.5	0.2623		0.1543
6003113	3	0.2822		0.1189
6003113	6	0.3193		0.0810
6003113	9	0.3292		0.0595
6003113	12	0.3296		0.0463
6003113	15	0.3272		0.0376
6003113	30	0.3164		0.0192
6003113	60	0.3021		0.0104
6003113	90	0.2711		0.0076
6003113	120	0.2342		0.0062
6003113	150	0.1999		0.0053
6003113	300	0.0946		0.0047
6003113	600	0.0375		0.0049
6003113	900	0.0242		0.0042
6003113	1200	0.0190		0.0037
6003113	1500	0.0163		0.0034
6003113	3000	0.0119		0.0028
6003113	6000	0.0101		0.0025
6003113	9000	0.0095		0.0024
6003113	1.2e+04	0.0093		0.0023
6003113	1.5e+04	0.0091		0.0023
