PDG	Ctau	Acceptance	StatError
6001113	0.35	0.9234		0.0193
6001113	0.7	0.9046		0.0157
6001113	1.4	0.8914		0.0124
6001113	2.1	0.8861		0.0106
6001113	2.8	0.8826		0.0094
6001113	3.5	0.8799		0.0086
6001113	7	0.8720		0.0065
6001113	14	0.8670		0.0050
6001113	21	0.8659		0.0044
6001113	28	0.8658		0.0041
6001113	35	0.8661		0.0040
6001113	70	0.8704		0.0061
6001113	140	0.8882		0.0165
6001113	210	0.9017		0.0225
6001113	280	0.9099		0.0252
6001113	350	0.9152		0.0265
6001113	700	0.9262		0.0283
6001113	1400	0.9318		0.0286
6001113	2100	0.9337		0.0286
6001113	2800	0.9346		0.0286
6001113	3500	0.9351		0.0286
6002113	3.5	0.8411		0.0311
6002113	7	0.8599		0.0220
6002113	14	0.8699		0.0149
6002113	21	0.8704		0.0120
6002113	28	0.8696		0.0104
6002113	35	0.8686		0.0093
6002113	70	0.8654		0.0068
6002113	140	0.8637		0.0052
6002113	210	0.8634		0.0045
6002113	280	0.8631		0.0042
6002113	350	0.8625		0.0041
6002113	700	0.8590		0.0069
6002113	1400	0.8547		0.0175
6002113	2100	0.8527		0.0242
6002113	2800	0.8515		0.0281
6002113	3500	0.8507		0.0307
6002113	7000	0.8490		0.0362
6002113	1.4e+04	0.8481		0.0391
6002113	2.1e+04	0.8478		0.0401
6002113	2.8e+04	0.8476		0.0406
6002113	3.5e+04	0.8475		0.0410
6003113	35	0.9051		0.0209
6003113	70	0.8836		0.0174
6003113	140	0.8688		0.0137
6003113	210	0.8644		0.0117
6003113	280	0.8626		0.0104
6003113	350	0.8616		0.0094
6003113	700	0.8586		0.0069
6003113	1400	0.8406		0.0053
6003113	2100	0.8007		0.0049
6003113	2800	0.7514		0.0050
6003113	3500	0.7013		0.0055
6003113	7000	0.5057		0.0098
6003113	1.4e+04	0.3343		0.0180
6003113	2.1e+04	0.2704		0.0208
6003113	2.8e+04	0.2390		0.0217
6003113	3.5e+04	0.2206		0.0221
6003113	7e+04	0.1855		0.0222
6003113	1.4e+05	0.1689		0.0221
6003113	2.1e+05	0.1636		0.0220
6003113	2.8e+05	0.1610		0.0219
6003113	3.5e+05	0.1594		0.0219
