PDG	Ctau	Acceptance	StatError
6001113	0.13	0.0000		0.0000
6001113	0.26	0.0000		0.0000
6001113	0.52	0.0001		0.0001
6001113	0.78	0.0005		0.0005
6001113	1.04	0.0008		0.0008
6001113	1.3	0.0011		0.0010
6001113	2.6	0.0018		0.0010
6001113	5.2	0.0027		0.0008
6001113	7.8	0.0033		0.0008
6001113	10.4	0.0036		0.0008
6001113	13	0.0038		0.0008
6001113	26	0.0040		0.0013
6001113	52	0.0037		0.0019
6001113	78	0.0034		0.0020
6001113	104	0.0033		0.0020
6001113	130	0.0032		0.0020
6001113	260	0.0030		0.0020
6001113	520	0.0029		0.0020
6001113	780	0.0028		0.0020
6001113	1040	0.0028		0.0020
6001113	1300	0.0028		0.0020
6002113	1.3	0.0003		0.0004
6002113	2.6	0.0061		0.0068
6002113	5.2	0.0125		0.0126
6002113	7.8	0.0107		0.0104
6002113	10.4	0.0088		0.0081
6002113	13	0.0075		0.0063
6002113	26	0.0049		0.0027
6002113	52	0.0036		0.0013
6002113	78	0.0032		0.0009
6002113	104	0.0030		0.0007
6002113	130	0.0029		0.0007
6002113	260	0.0024		0.0007
6002113	520	0.0017		0.0006
6002113	780	0.0014		0.0006
6002113	1040	0.0012		0.0005
6002113	1300	0.0011		0.0005
6002113	2600	0.0010		0.0005
6002113	5200	0.0009		0.0004
6002113	7800	0.0009		0.0004
6002113	1.04e+04	0.0009		0.0004
6002113	1.3e+04	0.0008		0.0004
6003113	13	0.0000		0.0000
6003113	26	0.0001		0.0002
6003113	52	0.0020		0.0020
6003113	78	0.0034		0.0033
6003113	104	0.0040		0.0035
6003113	130	0.0041		0.0033
6003113	260	0.0035		0.0020
6003113	520	0.0023		0.0010
6003113	780	0.0016		0.0006
6003113	1040	0.0011		0.0005
6003113	1300	0.0009		0.0003
6003113	2600	0.0003		0.0001
6003113	5200	0.0001		0.0001
6003113	7800	0.0001		0.0000
6003113	1.04e+04	0.0001		0.0000
6003113	1.3e+04	0.0000		0.0000
6003113	2.6e+04	0.0000		0.0000
6003113	5.2e+04	0.0000		0.0000
6003113	7.8e+04	0.0000		0.0000
6003113	1.04e+05	0.0000		0.0000
6003113	1.3e+05	0.0000		0.0000
