PDG	Ctau	Acceptance	StatError
1000022	1.6	0.9099		0.1520
1000022	3.2	0.8785		0.1795
1000022	6.4	0.8775		0.1217
1000022	9.6	0.8857		0.0772
1000022	12.8	0.8912		0.0546
1000022	16	0.8935		0.0422
1000022	32	0.8889		0.0211
1000022	64	0.8738		0.0123
1000022	96	0.8522		0.0098
1000022	128	0.8239		0.0093
1000022	160	0.7926		0.0098
1000022	320	0.6632		0.0217
1000022	640	0.5556		0.0494
1000022	960	0.5177		0.0651
1000022	1280	0.4995		0.0743
1000022	1600	0.4890		0.0802
1000022	3200	0.4690		0.0929
1000022	6400	0.4597		0.0997
1000022	9600	0.4567		0.1020
1000022	1.28e+04	0.4553		0.1032
1000022	1.6e+04	0.4544		0.1039
