PDG	Ctau	Acceptance	StatError
6001113	0.35	0.5208		0.4733
6001113	0.7	0.7140		0.2533
6001113	1.4	0.8486		0.0851
6001113	2.1	0.8673		0.0518
6001113	2.8	0.8682		0.0382
6001113	3.5	0.8659		0.0309
6001113	7	0.8594		0.0175
6001113	14	0.8583		0.0105
6001113	21	0.8588		0.0081
6001113	28	0.8597		0.0071
6001113	35	0.8609		0.0068
6001113	70	0.8738		0.0110
6001113	140	0.9005		0.0196
6001113	210	0.9134		0.0222
6001113	280	0.9201		0.0231
6001113	350	0.9242		0.0235
6001113	700	0.9322		0.0238
6001113	1400	0.9361		0.0238
6001113	2100	0.9374		0.0238
6001113	2800	0.9380		0.0238
6001113	3500	0.9384		0.0237
6002113	3.5	0.9844		0.0209
6002113	7	0.9198		0.0659
6002113	14	0.8662		0.0702
6002113	21	0.8537		0.0572
6002113	28	0.8511		0.0463
6002113	35	0.8518		0.0383
6002113	70	0.8579		0.0198
6002113	140	0.8441		0.0108
6002113	210	0.8034		0.0085
6002113	280	0.7519		0.0081
6002113	350	0.7001		0.0085
6002113	700	0.5211		0.0161
6002113	1400	0.3907		0.0366
6002113	2100	0.3435		0.0471
6002113	2800	0.3196		0.0525
6002113	3500	0.3054		0.0556
6002113	7000	0.2772		0.0616
6002113	1.4e+04	0.2633		0.0642
6002113	2.1e+04	0.2587		0.0651
6002113	2.8e+04	0.2564		0.0655
6002113	3.5e+04	0.2551		0.0657
6003113	35	0.9088		0.1111
6003113	70	0.8405		0.1461
6003113	140	0.8089		0.0985
6003113	210	0.7805		0.0680
6003113	280	0.7411		0.0518
6003113	350	0.6974		0.0422
6003113	700	0.5146		0.0233
6003113	1400	0.3310		0.0122
6003113	2100	0.2451		0.0081
6003113	2800	0.1951		0.0062
6003113	3500	0.1623		0.0051
6003113	7000	0.0885		0.0045
6003113	1.4e+04	0.0500		0.0066
6003113	2.1e+04	0.0386		0.0071
6003113	2.8e+04	0.0334		0.0071
6003113	3.5e+04	0.0305		0.0071
6003113	7e+04	0.0252		0.0069
6003113	1.4e+05	0.0228		0.0067
6003113	2.1e+05	0.0220		0.0066
6003113	2.8e+05	0.0216		0.0066
6003113	3.5e+05	0.0214		0.0065
