PDG	Ctau	Acceptance	StatError
6001113	0.2	0.2243		0.0361
6001113	0.4	0.2225		0.0247
6001113	0.8	0.2323		0.0174
6001113	1.2	0.2398		0.0145
6001113	1.6	0.2445		0.0127
6001113	2	0.2475		0.0115
6001113	4	0.2522		0.0085
6001113	8	0.2520		0.0064
6001113	12	0.2515		0.0056
6001113	16	0.2513		0.0052
6001113	20	0.2513		0.0051
6001113	40	0.2540		0.0086
6001113	80	0.2562		0.0249
6001113	120	0.2551		0.0358
6001113	160	0.2537		0.0425
6001113	200	0.2525		0.0468
6001113	400	0.2492		0.0560
6001113	800	0.2471		0.0608
6001113	1200	0.2464		0.0624
6001113	1600	0.2460		0.0632
6001113	2000	0.2457		0.0637
6002113	2	0.2531		0.0327
6002113	4	0.2662		0.0255
6002113	8	0.2651		0.0193
6002113	12	0.2628		0.0160
6002113	16	0.2618		0.0139
6002113	20	0.2614		0.0124
6002113	40	0.2612		0.0088
6002113	80	0.2525		0.0066
6002113	120	0.2353		0.0057
6002113	160	0.2161		0.0052
6002113	200	0.1979		0.0048
6002113	400	0.1331		0.0042
6002113	800	0.0807		0.0058
6002113	1200	0.0621		0.0063
6002113	1600	0.0533		0.0064
6002113	2000	0.0482		0.0064
6002113	4000	0.0388		0.0062
6002113	8000	0.0346		0.0060
6002113	1.2e+04	0.0332		0.0059
6002113	1.6e+04	0.0325		0.0059
6002113	2e+04	0.0321		0.0058
6003113	20	0.2521		0.0366
6003113	40	0.2542		0.0260
6003113	80	0.2466		0.0185
6003113	120	0.2297		0.0152
6003113	160	0.2106		0.0132
6003113	200	0.1926		0.0117
6003113	400	0.1304		0.0078
6003113	800	0.0776		0.0048
6003113	1200	0.0551		0.0034
6003113	1600	0.0427		0.0027
6003113	2000	0.0349		0.0022
6003113	4000	0.0183		0.0012
6003113	8000	0.0104		0.0008
6003113	1.2e+04	0.0081		0.0007
6003113	1.6e+04	0.0070		0.0006
6003113	2e+04	0.0064		0.0006
6003113	4e+04	0.0053		0.0005
6003113	8e+04	0.0048		0.0005
6003113	1.2e+05	0.0047		0.0005
6003113	1.6e+05	0.0046		0.0005
6003113	2e+05	0.0046		0.0005
