PDG	Ctau	Acceptance	StatError
6001113	0.04	0.7782		0.1676
6001113	0.08	0.7093		0.1606
6001113	0.16	0.7396		0.1076
6001113	0.24	0.7610		0.0749
6001113	0.32	0.7721		0.0562
6001113	0.4	0.7788		0.0448
6001113	0.8	0.7913		0.0225
6001113	1.6	0.7900		0.0122
6001113	2.4	0.7869		0.0093
6001113	3.2	0.7860		0.0082
6001113	4	0.7866		0.0078
6001113	8	0.7884		0.0269
6001113	16	0.7582		0.1295
6001113	24	0.7341		0.1882
6001113	32	0.7198		0.2191
6001113	40	0.7107		0.2375
6001113	80	0.6919		0.2730
6001113	160	0.6824		0.2898
6001113	240	0.6793		0.2952
6001113	320	0.6777		0.2978
6001113	400	0.6767		0.2994
6002113	0.4	0.5553		0.3840
6002113	0.8	0.7103		0.2101
6002113	1.6	0.7998		0.0924
6002113	2.4	0.8072		0.0594
6002113	3.2	0.8040		0.0452
6002113	4	0.8010		0.0371
6002113	8	0.7981		0.0207
6002113	16	0.7769		0.0116
6002113	24	0.7267		0.0091
6002113	32	0.6689		0.0085
6002113	40	0.6142		0.0085
6002113	80	0.4366		0.0136
6002113	160	0.3202		0.0239
6002113	240	0.2825		0.0280
6002113	320	0.2645		0.0300
6002113	400	0.2541		0.0312
6002113	800	0.2341		0.0333
6002113	1600	0.2245		0.0343
6002113	2400	0.2214		0.0346
6002113	3200	0.2199		0.0348
6002113	4000	0.2190		0.0349
6003113	4	0.9974		0.0026
6003113	8	0.9490		0.0330
6003113	16	0.8308		0.0551
6003113	24	0.7491		0.0504
6003113	32	0.6820		0.0441
6003113	40	0.6238		0.0387
6003113	80	0.4294		0.0228
6003113	160	0.2618		0.0113
6003113	240	0.1872		0.0073
6003113	320	0.1449		0.0053
6003113	400	0.1179		0.0043
6003113	800	0.0643		0.0038
6003113	1600	0.0423		0.0051
6003113	2400	0.0363		0.0055
6003113	3200	0.0335		0.0057
6003113	4000	0.0320		0.0058
6003113	8000	0.0290		0.0059
6003113	1.6e+04	0.0276		0.0060
6003113	2.4e+04	0.0271		0.0060
6003113	3.2e+04	0.0269		0.0060
6003113	4e+04	0.0268		0.0060
