PDG	Ctau	Acceptance	StatError
6001113	0.04	0.5655		0.0430
6001113	0.08	0.5720		0.0302
6001113	0.16	0.5728		0.0213
6001113	0.24	0.5720		0.0174
6001113	0.32	0.5719		0.0151
6001113	0.4	0.5722		0.0135
6001113	0.8	0.5749		0.0098
6001113	1.6	0.5773		0.0074
6001113	2.4	0.5786		0.0065
6001113	3.2	0.5791		0.0060
6001113	4	0.5787		0.0059
6001113	8	0.5771		0.0149
6001113	16	0.6345		0.0842
6001113	24	0.6838		0.1179
6001113	32	0.7120		0.1305
6001113	40	0.7292		0.1360
6001113	80	0.7627		0.1424
6001113	160	0.7784		0.1435
6001113	240	0.7834		0.1435
6001113	320	0.7859		0.1435
6001113	400	0.7874		0.1435
6002113	0.4	0.6009		0.0398
6002113	0.8	0.5878		0.0298
6002113	1.6	0.5799		0.0214
6002113	2.4	0.5755		0.0175
6002113	3.2	0.5728		0.0151
6002113	4	0.5711		0.0135
6002113	8	0.5670		0.0098
6002113	16	0.5476		0.0073
6002113	24	0.5108		0.0064
6002113	32	0.4699		0.0061
6002113	40	0.4313		0.0059
6002113	80	0.3010		0.0065
6002113	160	0.2007		0.0115
6002113	240	0.1639		0.0144
6002113	320	0.1456		0.0158
6002113	400	0.1348		0.0166
6002113	800	0.1139		0.0178
6002113	1600	0.1039		0.0182
6002113	2400	0.1006		0.0183
6002113	3200	0.0990		0.0183
6002113	4000	0.0981		0.0184
6003113	4	0.5486		0.0431
6003113	8	0.5721		0.0302
6003113	16	0.5588		0.0213
6003113	24	0.5200		0.0176
6003113	32	0.4764		0.0154
6003113	40	0.4353		0.0140
6003113	80	0.2941		0.0101
6003113	160	0.1756		0.0066
6003113	240	0.1252		0.0049
6003113	320	0.0973		0.0039
6003113	400	0.0795		0.0033
6003113	800	0.0417		0.0019
6003113	1600	0.0230		0.0016
6003113	2400	0.0174		0.0016
6003113	3200	0.0149		0.0016
6003113	4000	0.0135		0.0016
6003113	8000	0.0109		0.0016
6003113	1.6e+04	0.0097		0.0015
6003113	2.4e+04	0.0093		0.0015
6003113	3.2e+04	0.0091		0.0015
6003113	4e+04	0.0090		0.0015
