Mass	TransverseMass	Lxy	d0/sigmaL	d0/sigmaH	eventWeight	Run	Lumi	Event
213.785	352.167	7.47211	-4.41042	-11.975	1	205238	492	516774044
149.472	242.135	37.4119	-6.9994	-9.67875	1	206331	206	271732017
98.1246	186.72	32.1245	-12.3033	-17.6579	1	208357	173	181824505
108.839	168.895	29.8699	-12.0123	-6.14334	1	206605	11	6751478
406.777	643.249	12.5385	-8.5095	-7.82402	1	206446	734	1015418590
273.646	2523.91	50.7205	-7.83708	-16.6188	1	207372	481	668132782
176.87	632.402	9.8036	-9.91154	-7.54508	1	207515	330	518434164
100.006	221.933	19.9939	-5.41681	-16.1175	1	208429	730	718222550
159.818	379.63	10.1719	-10.6853	-7.45328	1	208551	246	396724822
457.242	884.045	10.2761	-7.99793	-9.46914	1	205617	454	477722820
122.097	348.769	28.1033	-4.37971	-21.8417	1	204544	55	83570746
579.585	1299.71	9.58828	-8.82188	-11.0817	1	205519	300	349420294
