PDG	Ctau	Acceptance	StatError
1000022	1.65	0.0499		0.0334
1000022	3.3	0.0537		0.0279
1000022	6.6	0.0696		0.0311
1000022	9.9	0.0732		0.0257
1000022	13.2	0.0733		0.0206
1000022	16.5	0.0727		0.0169
1000022	33	0.0699		0.0090
1000022	66	0.0674		0.0057
1000022	99	0.0665		0.0048
1000022	132	0.0663		0.0044
1000022	165	0.0665		0.0043
1000022	330	0.0653		0.0059
1000022	660	0.0608		0.0099
1000022	990	0.0597		0.0121
1000022	1320	0.0600		0.0134
1000022	1650	0.0609		0.0143
1000022	3300	0.0650		0.0168
1000022	6600	0.0695		0.0189
1000022	9900	0.0716		0.0199
1000022	1.32e+04	0.0728		0.0205
1000022	1.65e+04	0.0735		0.0209
