PDG	Ctau	Acceptance	StatError
1000022	1.73	0.0001		0.0001
1000022	3.46	0.0024		0.0024
1000022	6.92	0.0232		0.0119
1000022	10.38	0.0607		0.0242
1000022	13.84	0.0924		0.0303
1000022	17.3	0.1139		0.0319
1000022	34.6	0.1481		0.0268
1000022	69.2	0.1500		0.0175
1000022	103.8	0.1502		0.0137
1000022	138.4	0.1520		0.0122
1000022	173	0.1550		0.0119
1000022	346	0.1850		0.0331
1000022	692	0.2428		0.1009
1000022	1038	0.2706		0.1363
1000022	1384	0.2854		0.1557
1000022	1730	0.2944		0.1677
1000022	3460	0.3124		0.1921
1000022	6920	0.3213		0.2045
1000022	1.038e+04	0.3242		0.2086
1000022	1.384e+04	0.3257		0.2106
1000022	1.73e+04	0.3265		0.2118
