PDG	Ctau	Acceptance	StatError
6001113	0.1	0.7682		0.0366
6001113	0.2	0.7619		0.0270
6001113	0.4	0.7684		0.0193
6001113	0.6	0.7740		0.0157
6001113	0.8	0.7774		0.0136
6001113	1	0.7795		0.0121
6001113	2	0.7834		0.0086
6001113	4	0.7860		0.0064
6001113	6	0.7879		0.0056
6001113	8	0.7894		0.0052
6001113	10	0.7902		0.0051
6001113	20	0.7910		0.0077
6001113	40	0.7968		0.0166
6001113	60	0.8024		0.0214
6001113	80	0.8062		0.0241
6001113	100	0.8089		0.0257
6001113	200	0.8149		0.0289
6001113	400	0.8183		0.0304
6001113	600	0.8195		0.0309
6001113	800	0.8201		0.0312
6001113	1000	0.8205		0.0313
6002113	1	0.7633		0.0354
6002113	2	0.7671		0.0256
6002113	4	0.7746		0.0183
6002113	6	0.7786		0.0150
6002113	8	0.7813		0.0130
6002113	10	0.7835		0.0117
6002113	20	0.7902		0.0085
6002113	40	0.7945		0.0063
6002113	60	0.7949		0.0055
6002113	80	0.7941		0.0051
6002113	100	0.7927		0.0051
6002113	200	0.7786		0.0099
6002113	400	0.7437		0.0323
6002113	600	0.7220		0.0469
6002113	800	0.7089		0.0556
6002113	1000	0.7003		0.0612
6002113	2000	0.6816		0.0732
6002113	4000	0.6715		0.0794
6002113	6000	0.6681		0.0815
6002113	8000	0.6664		0.0826
6002113	1e+04	0.6653		0.0832
6003113	10	0.8382		0.0304
6003113	20	0.8248		0.0233
6003113	40	0.8207		0.0170
6003113	60	0.8182		0.0140
6003113	80	0.8157		0.0122
6003113	100	0.8135		0.0110
6003113	200	0.8073		0.0082
6003113	400	0.7923		0.0062
6003113	600	0.7604		0.0056
6003113	800	0.7200		0.0056
6003113	1000	0.6788		0.0059
6003113	2000	0.5226		0.0091
6003113	4000	0.3880		0.0158
6003113	6000	0.3353		0.0191
6003113	8000	0.3082		0.0207
6003113	1e+04	0.2919		0.0216
6003113	2e+04	0.2594		0.0232
6003113	4e+04	0.2433		0.0238
6003113	6e+04	0.2380		0.0240
6003113	8e+04	0.2354		0.0241
6003113	1e+05	0.2338		0.0242
