PDG	Ctau	Acceptance	StatError
6001113	0.4	0.0180		0.0179
6001113	0.8	0.0955		0.0594
6001113	1.6	0.2000		0.0621
6001113	2.4	0.2395		0.0485
6001113	3.2	0.2533		0.0389
6001113	4	0.2578		0.0322
6001113	8	0.2615		0.0170
6001113	16	0.2659		0.0095
6001113	24	0.2670		0.0073
6001113	32	0.2667		0.0064
6001113	40	0.2654		0.0061
6001113	80	0.2530		0.0115
6001113	160	0.2346		0.0271
6001113	240	0.2262		0.0348
6001113	320	0.2217		0.0390
6001113	400	0.2190		0.0415
6001113	800	0.2134		0.0466
6001113	1600	0.2105		0.0491
6001113	2400	0.2096		0.0499
6001113	3200	0.2091		0.0503
6001113	4000	0.2088		0.0506
6002113	4	0.0036		0.0029
6002113	8	0.0391		0.0239
6002113	16	0.1261		0.0444
6002113	24	0.1772		0.0399
6002113	32	0.2053		0.0332
6002113	40	0.2221		0.0279
6002113	80	0.2498		0.0156
6002113	160	0.2614		0.0092
6002113	240	0.2672		0.0072
6002113	320	0.2701		0.0064
6002113	400	0.2713		0.0062
6002113	800	0.2581		0.0137
6002113	1600	0.2009		0.0407
6002113	2400	0.1690		0.0498
6002113	3200	0.1520		0.0526
6002113	4000	0.1418		0.0536
6002113	8000	0.1219		0.0539
6002113	1.6e+04	0.1124		0.0533
6002113	2.4e+04	0.1093		0.0529
6002113	3.2e+04	0.1078		0.0528
6002113	4e+04	0.1069		0.0526
6003113	40	0.4446		0.2327
6003113	80	0.3592		0.1412
6003113	160	0.3130		0.0789
6003113	240	0.2986		0.0540
6003113	320	0.2897		0.0409
6003113	400	0.2837		0.0329
6003113	800	0.2708		0.0170
6003113	1600	0.2541		0.0094
6003113	2400	0.2282		0.0069
6003113	3200	0.1995		0.0057
6003113	4000	0.1730		0.0049
6003113	8000	0.0898		0.0047
6003113	1.6e+04	0.0387		0.0072
6003113	2.4e+04	0.0251		0.0069
6003113	3.2e+04	0.0197		0.0064
6003113	4e+04	0.0168		0.0060
6003113	8e+04	0.0121		0.0051
6003113	1.6e+05	0.0101		0.0046
6003113	2.4e+05	0.0095		0.0044
6003113	3.2e+05	0.0092		0.0043
6003113	4e+05	0.0091		0.0043
